term_id,item_id,label
TERM_001dfd42,ITEM_c0d5aab30d92,0
TERM_001dfd42,ITEM_478549b4988a,0
TERM_001dfd42,ITEM_c80a58bc6c01,0
TERM_001dfd42,ITEM_7dcc5a11ea2a,0
TERM_001dfd42,ITEM_7b5807bbe089,0
TERM_001dfd42,ITEM_4c26f255e246,0
TERM_001dfd42,ITEM_f3992e3797a3,0
TERM_001dfd42,ITEM_7d46e1b0d33a,0
TERM_001dfd42,ITEM_de85562aafac,0
TERM_001dfd42,ITEM_24f3422a6a57,0
TERM_001dfd42,ITEM_ab58aff949bf,0
TERM_001dfd42,ITEM_bf137cbeb923,0
TERM_001dfd42,ITEM_b4135aff74bd,0
TERM_001dfd42,ITEM_d96414ca6d1a,0
TERM_001dfd42,ITEM_dd5be6be0017,0
TERM_003996f2,ITEM_c1a8d7449c1b,0
TERM_003996f2,ITEM_1c3f8f0eb50c,0
TERM_003996f2,ITEM_cb13cb982416,0
TERM_003996f2,ITEM_5f2abd148382,0
TERM_003996f2,ITEM_1524bb0f7483,0
TERM_003996f2,ITEM_caecd042e3bc,0
TERM_003996f2,ITEM_7f8ad808b55f,0
TERM_003996f2,ITEM_057836687af5,0
TERM_003996f2,ITEM_aa654ced1ca8,0
TERM_003996f2,ITEM_bcfc9d10deba,0
TERM_003996f2,ITEM_ff0078319b7c,0
TERM_003996f2,ITEM_9043dd4d6cca,0
TERM_003996f2,ITEM_81582909af7d,0
TERM_003996f2,ITEM_a94e630e7641,0
TERM_003996f2,ITEM_f87489c3cd66,0
TERM_0047e1ec,ITEM_fb92390e6402,0
TERM_0047e1ec,ITEM_a8f65c189135,0
TERM_0047e1ec,ITEM_40d3c6e3b53a,0
TERM_0047e1ec,ITEM_7953fe3c97fb,0
TERM_0047e1ec,ITEM_f21700228951,0
TERM_0047e1ec,ITEM_68b7ed2184ec,0
TERM_0047e1ec,ITEM_60a0d9807305,0
TERM_0047e1ec,ITEM_444c6e2805aa,0
TERM_0047e1ec,ITEM_ea55c0861c46,0
TERM_0047e1ec,ITEM_3dcc4e8e319e,0
TERM_0047e1ec,ITEM_3caac7387f16,0
TERM_0047e1ec,ITEM_9f31d91c897d,0
TERM_0047e1ec,ITEM_008fe6b117ad,0
TERM_0047e1ec,ITEM_19a40f8fcc16,0
TERM_0047e1ec,ITEM_13e67f093104,0
TERM_006d25c9,ITEM_e1d745d42a82,0
TERM_006d25c9,ITEM_6f2386fa068f,0
TERM_006d25c9,ITEM_f961b81adc8d,0
TERM_006d25c9,ITEM_8d874ff9e196,0
TERM_006d25c9,ITEM_15ee5ef83585,0
TERM_006d25c9,ITEM_1e6841d1e8de,0
TERM_006d25c9,ITEM_c35d7b4c190f,0
TERM_006d25c9,ITEM_3c219271125d,0
TERM_006d25c9,ITEM_8f0357682be5,0
TERM_006d25c9,ITEM_15702a42fcf3,0
TERM_006d25c9,ITEM_49853e94d825,0
TERM_006d25c9,ITEM_a133da36e258,0
TERM_006d25c9,ITEM_d3fe86987389,0
TERM_006d25c9,ITEM_ab5a4c71ef36,0
TERM_006d25c9,ITEM_199e2d6c27ac,0
TERM_006fb101,ITEM_0ef089b63ce9,0
TERM_006fb101,ITEM_3a62ba90db50,0
TERM_006fb101,ITEM_a64c4762610f,0
TERM_006fb101,ITEM_1e198681f1a8,0
TERM_006fb101,ITEM_3e57c6069031,0
TERM_006fb101,ITEM_909be7b1eee9,0
TERM_006fb101,ITEM_8c5045213ab7,0
TERM_006fb101,ITEM_af160e7e52b2,0
TERM_006fb101,ITEM_3067c54a8e38,0
TERM_006fb101,ITEM_882102a54e77,0
TERM_006fb101,ITEM_298e99dcc064,0
TERM_006fb101,ITEM_c3f47bc3aaf4,0
TERM_006fb101,ITEM_50370b3998a1,0
TERM_006fb101,ITEM_5c8770a4400f,0
TERM_006fb101,ITEM_5e55ac4610b1,0
TERM_00712cf9,ITEM_a034e4a19167,0
TERM_00712cf9,ITEM_360905606461,0
TERM_00712cf9,ITEM_6573c42e2df0,0
TERM_00712cf9,ITEM_1321afcf9cda,0
TERM_00712cf9,ITEM_511a2b4c9048,0
TERM_00712cf9,ITEM_4b2c631526ad,0
TERM_00712cf9,ITEM_eb6a315ab1c5,0
TERM_00712cf9,ITEM_f8ddafac079d,0
TERM_00712cf9,ITEM_e78b69f9cb20,0
TERM_00712cf9,ITEM_6a27841c0712,0
TERM_00712cf9,ITEM_134c9c593853,0
TERM_00712cf9,ITEM_9f7435976713,0
TERM_00712cf9,ITEM_b64d017e05f4,0
TERM_00712cf9,ITEM_2cb8643ea185,0
TERM_00712cf9,ITEM_36d00e5902a2,0
TERM_0072501e,ITEM_ac9719cef1ce,0
TERM_0072501e,ITEM_947fca22e55b,0
TERM_0072501e,ITEM_5de36d8e70b7,0
TERM_0072501e,ITEM_c7560bf884b9,0
TERM_0072501e,ITEM_ef7bc0a3b7ad,0
TERM_0072501e,ITEM_a848db9d2e7f,0
TERM_0072501e,ITEM_428b5665a7a0,0
